iter	RMSE
567	0.250361883
568	0.2500094021
569	0.2496242937
570	0.2494127424
571	0.2492775217
572	0.2490418136
573	0.2488304373
574	0.2485515994
575	0.2481888434
576	0.2480155356
577	0.2477004578
578	0.2475276171
579	0.247357279
580	0.2471950316
581	0.2469548244
582	0.2467340335
583	0.246476128
584	0.2463709644
585	0.2460959343
586	0.2457278053
587	0.2456546698
588	0.245383127
589	0.2450219653
590	0.2447432702
591	0.2445490396
592	0.2444577499
593	0.2441962381
594	0.2439384854
595	0.2435146847
596	0.2432275698
597	0.2431021692
598	0.2426389574
599	0.2423153304
600	0.2421012863
601	0.2420057654
602	0.241715087
603	0.2415303288
604	0.2412143383
605	0.2410381017
606	0.2406880419
607	0.2402569647
608	0.2398491392
609	0.2397816811
610	0.2396091635
611	0.239387172
612	0.238978461
613	0.2386441008
614	0.2384058854
615	0.2380817086
616	0.2378243838
617	0.2373687587
618	0.2371751934
619	0.2369700605
620	0.2366983475
621	0.2364081995
622	0.2362085923
623	0.2357806094
624	0.2354057239
625	0.2352196055
626	0.2349379388
627	0.2345163956
628	0.2341502458
629	0.2339714372
630	0.2337314029
631	0.2334031711
632	0.2333161705
633	0.2332133569
634	0.2331352072
635	0.23300976
636	0.2327813452
637	0.232691976
638	0.2325115862
639	0.2322098631
640	0.2317422499
641	0.2315999434
642	0.2314028346
643	0.2310510795
644	0.2305908216
645	0.2304602828
646	0.2302684417
647	0.2301541893
648	0.229753601
649	0.2293216112
650	0.2290681306
651	0.2289103052
652	0.2286299218
653	0.2282816617
654	0.2281945847
655	0.2278941453
656	0.2278121509
657	0.227679819
658	0.2273715448
659	0.2272371797
660	0.2271183513
661	0.2269227924
662	0.2267593536
663	0.2265492232
664	0.22630264
665	0.226034826
666	0.2258893092
667	0.2255486051
668	0.2253865228
669	0.2251558617
670	0.2249992864
671	0.2247679415
672	0.2245997526
673	0.2243206094
674	0.2239504172
675	0.2235547428
676	0.2233194732
677	0.2231447115
678	0.2230294453
679	0.2228610407
680	0.2226886706
681	0.2224228837
682	0.2222268307
683	0.2220772127
684	0.2219045378
685	0.2217039558
686	0.2214460447
687	0.2212703354
688	0.2211623423
689	0.2209146546
690	0.2207480532
691	0.2205594346
692	0.2203657156
693	0.2200986769
694	0.2198453981
695	0.2196740143
696	0.2195114944
697	0.2193920236
698	0.2190644354
699	0.2187122652
700	0.2183891121
701	0.2183749706
702	0.2181733858
703	0.2179012048
704	0.2177647969
705	0.2176683882
706	0.2172384979
707	0.2169840203
708	0.2167879704
709	0.2166539264
710	0.2164867299
711	0.2162172329
712	0.216032803
713	0.2158206424
714	0.215538498
715	0.2152175304
716	0.2149601321
717	0.2147632275
718	0.2145991483
719	0.2144354381
720	0.2141697241
721	0.2140018738
722	0.2138919553
723	0.2136906497
724	0.2134034947
725	0.2132982762
726	0.2129611428
727	0.2127877056
728	0.2126797481
729	0.2125112519
730	0.2122891016
731	0.2121032267
732	0.2117878386
733	0.2115533177
734	0.2114732345
735	0.211176323
736	0.2109049577
737	0.2105849168
738	0.2103317837
739	0.210158087
740	0.210054886
741	0.209760561
742	0.2096646256
743	0.2095286911
744	0.209385065
745	0.2090420168
746	0.2088988657
747	0.2086794556
748	0.2083985116
749	0.2082421271
750	0.2081056754
751	0.2079568377
752	0.2076916585
753	0.2075410225
754	0.2074081529
755	0.2071851387
756	0.2070433199
757	0.2069422273
758	0.2068714185
759	0.2065524494
760	0.2063240795
761	0.2062603044
762	0.2060870207
763	0.2058947405
764	0.2056397458
765	0.2054695495
766	0.2052537972
767	0.2049835591
768	0.2048488415
769	0.2044989723
770	0.2043532389
771	0.2041825663
772	0.2039441018
773	0.2038051414
774	0.2035367208
775	0.2032974616
776	0.2030951413
777	0.2028450027
778	0.2024825596
779	0.2022690925
780	0.2020533341
781	0.2018213399
782	0.2015492283
783	0.2014329135
784	0.2011696054
785	0.200859768
